source_split,seed,backbone,summary_type,metric,status,n,n_groups,draws,estimate,ci_lower,ci_upper,standard_error,confidence,cluster_columns,number_expected_runs,number_completed_runs,missing_runs_detail,protocol_hash,git_commit,setting,population
val,11,resnet50,pair_weighted,hcs,complete,89646,3,2000,-0.0959057976005486,-0.1329890757955091,-0.0457727800704239,0.0231696283179356,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,11,resnet50,pair_weighted,hce,complete,89646,3,2000,0.0986077593744587,-0.107545563947287,0.2603145303966105,0.0986798299551493,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,11,resnet50,common_support,hcs,complete,89181,3,2000,-0.0959612819043342,-0.1330497659744664,-0.0455994626682289,0.0232438717318158,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,11,resnet50,common_support,hce,complete,89181,3,2000,0.098285774353086,-0.1089490613816429,0.2606010724611666,0.0992105814078961,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,42,resnet50,pair_weighted,hcs,complete,89646,3,2000,-0.0793437946265608,-0.1120169715209658,-0.0419813681174065,0.0179263665219052,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,42,resnet50,pair_weighted,hce,complete,89646,3,2000,0.1086194857747985,-0.0859299004565257,0.2572213019484936,0.0913438565092746,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,42,resnet50,common_support,hcs,complete,89181,3,2000,-0.079434825576387,-0.1122169920220731,-0.0418856356141563,0.018000501699432,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,42,resnet50,common_support,hce,complete,89181,3,2000,0.1082081319163503,-0.0863744819112905,0.2574803918918539,0.091744097178858,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,101,resnet50,pair_weighted,hcs,complete,89646,3,2000,-0.0964806453318032,-0.1299682699601855,-0.0584553075221183,0.0187312369042758,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,101,resnet50,pair_weighted,hce,complete,89646,3,2000,0.0028124880919277,-0.1747150839983949,0.1700618319977475,0.0902071297010098,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,101,resnet50,common_support,hcs,complete,89181,3,2000,-0.097140456508354,-0.1317746511667619,-0.0586162827391631,0.0189913444829379,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,101,resnet50,common_support,hce,complete,89181,3,2000,0.0027952498259827,-0.1770846967331291,0.1702201615779373,0.0907592443778003,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,primary,hospital1
val,11,resnet50,pair_weighted,hcs,complete,90000,3,2000,-0.0756523710686475,-0.1100070729299582,-0.0366569157933734,0.0183831809566346,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,random_paired,hospital1
val,11,resnet50,pair_weighted,hce,complete,90000,3,2000,0.0530782313128325,-0.1160950485661948,0.1842323260002031,0.0786642987843595,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,random_paired,hospital1
val,11,resnet50,common_support,hcs,complete,90000,3,2000,-0.0756523710686475,-0.1100070729299582,-0.0366569157933734,0.0183831809566346,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,random_paired,hospital1
val,11,resnet50,common_support,hce,complete,90000,3,2000,0.0530782313128325,-0.1160950485661948,0.1842323260002031,0.0786642987843595,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,random_paired,hospital1
val,42,resnet50,pair_weighted,hcs,complete,90000,3,2000,-0.0546054749407523,-0.0835174618797021,-0.0244286883654835,0.0147342090740357,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,random_paired,hospital1
val,42,resnet50,pair_weighted,hce,complete,90000,3,2000,0.0854693189639647,-0.0900616396879412,0.2084630692948545,0.0800745728156957,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,random_paired,hospital1
val,42,resnet50,common_support,hcs,complete,90000,3,2000,-0.0546054749407523,-0.0835174618797021,-0.0244286883654835,0.0147342090740357,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,random_paired,hospital1
val,42,resnet50,common_support,hce,complete,90000,3,2000,0.0854693189639647,-0.0900616396879412,0.2084630692948545,0.0800745728156957,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,random_paired,hospital1
val,101,resnet50,pair_weighted,hcs,complete,90000,3,2000,-0.103742296663571,-0.1521661295992638,-0.0668924766302099,0.0209798724564665,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,random_paired,hospital1
val,101,resnet50,pair_weighted,hce,complete,90000,3,2000,-0.065691435764881,-0.1863928532569951,0.0662947880179921,0.0637941435663351,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,random_paired,hospital1
val,101,resnet50,common_support,hcs,complete,90000,3,2000,-0.103742296663571,-0.1521661295992638,-0.0668924766302099,0.0209798724564665,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,random_paired,hospital1
val,101,resnet50,common_support,hce,complete,90000,3,2000,-0.065691435764881,-0.1863928532569951,0.0662947880179921,0.0637941435663351,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,random_paired,hospital1
val,11,resnet50,pair_weighted,hcs,complete,89646,3,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,roi_only,hospital1
val,11,resnet50,pair_weighted,hce,complete,89646,3,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,roi_only,hospital1
val,11,resnet50,common_support,hcs,complete,89181,3,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,roi_only,hospital1
val,11,resnet50,common_support,hce,complete,89181,3,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,roi_only,hospital1
val,42,resnet50,pair_weighted,hcs,complete,89646,3,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,roi_only,hospital1
val,42,resnet50,pair_weighted,hce,complete,89646,3,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,roi_only,hospital1
val,42,resnet50,common_support,hcs,complete,89181,3,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,roi_only,hospital1
val,42,resnet50,common_support,hce,complete,89181,3,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,roi_only,hospital1
val,101,resnet50,pair_weighted,hcs,complete,89646,3,2000,0.0,0.0,0.0,0.0,0.95,source_physical_id;within_physical_id;cross_physical_id,3,3,[],ab44aaa68bdd7a9e871f3edb1e9a6b959a61068c2b18786588d37e44da2d2b04,feede087cae4e0f2ae896cfa7c0cffcdc9030608,roi_only,hospital1
